Number, Verb ,Type,English Meaning,Yo,Tú,Él/Ella/Usted,Nosotros/as,Ellos/Ellas/Ustedes,Example (Spanish),Example (English),PR Usage
130,Bendecir,IR,To bless,bendeczco,bendeces,bendece,bendecimos,bendecen,Bendigo la casa.,I bless the house.,Yes 🇵🇷
131,Pensarse,Reflexive,To think it over,me pienso,te piensas,se piensa,nos pensamos,se piensan,Me lo pienso.,I think it over.,Yes 🇵🇷
132,Caer,IR,To fall,caigo,caes,cae,caemos,caen,Me caigo.,I fall.,No
133,Levantarse,Reflexive,To get up,me levanto,te levantas,se levanta,nos levantamos,se levantan,Me levanto temprano.,I get up early.,No
134,Acostarse,Reflexive,To go to bed,me acosto,te acostas,se acosta,nos acostamos,se acostan,Me acuesto tarde.,I go to bed late.,No
135,Despertarse,Reflexive,To wake up,me desperto,te despertas,se desperta,nos despertamos,se despertan,Me despierto a las seis.,I wake up at six.,No
136,Sentarse,Reflexive,To sit down,me sento,te sentas,se senta,nos sentamos,se sentan,Me siento aquí.,I sit here.,No
137,Pararse,Reflexive,To stand up,me paro,te paras,se para,nos paramos,se paran,Me paro rápido.,I stand up fast.,Yes 🇵🇷
138,Mudarse,Reflexive,To move homes,me mudo,te mudas,se muda,nos mudamos,se mudan,Nos mudamos pronto.,We move soon.,No
139,Quedarse,Reflexive,To stay,me quedo,te quedas,se queda,nos quedamos,se quedan,Me quedo aquí.,I stay here.,No
140,Irse,Reflexive,To leave,me voy,te vas,se va,nos vamos,se van,Me voy ahora.,I’m leaving now.,No
141,Llegarse,Reflexive,To stop by,me llego,te llegas,se llega,nos llegamos,se llegan,Me llego luego.,I’ll stop by later.,Yes 🇵🇷
142,Salirse,Reflexive,To leave suddenly,me salgo,te sales,se sale,nos salimos,se salen,Se salió del chat.,They left the chat.,No
143,Apurarse,Reflexive,To hurry up,me apuro,te apuras,se apura,nos apuramos,se apuran,Apúrate.,Hurry up.,Yes 🇵🇷
144,Tranquilizarse,Reflexive,To calm down,me tranquilizo,te tranquilizas,se tranquiliza,nos tranquilizamos,se tranquilizan,Tranquilízate.,Calm down.,No
145,Enojarse,Reflexive,To get mad,me enojo,te enojas,se enoja,nos enojamos,se enojan,Se enoja fácil.,They get mad easily.,No
146,Molestarse,Reflexive,To get bothered,me molesto,te molestas,se molesta,nos molestamos,se molestan,No te molestes.,Don’t get bothered.,No
147,Preocuparse,Reflexive,To worry,me preocupo,te preocupas,se preocupa,nos preocupamos,se preocupan,Me preocupo mucho.,I worry a lot.,No
148,Alegrarse,Reflexive,To be happy,me alegro,te alegras,se alegra,nos alegramos,se alegran,Me alegro por ti.,I’m happy for you.,No
149,Orgullarse,Reflexive,To be proud,me orgullo,te orgullas,se orgulla,nos orgullamos,se orgullan,Me orgullo de ti.,I’m proud of you.,No
150,Darse cuenta,Phrase,To realize,me doy cuenta,te das cuenta,se da cuenta,nos damos cuenta,se dan cuenta,Me doy cuenta ahora.,I realize it now.,No
151,Olvidarse,Reflexive,To forget,me olvido,te olvidas,se olvida,nos olvidamos,se olvidan,Se me olvida.,I forget.,No
152,Acordarse,Reflexive,To remember,me acordo,te acordas,se acorda,nos acordamos,se acordan,Me acuerdo de eso.,I remember that.,No
153,Soñar,AR,To dream,soño,soñas,soña,soñamos,soñan,Sueño contigo.,I dream of you.,No
154,Intentar,AR,To try,intento,intentas,intenta,intentamos,intentan,Intento mejorar.,I try to improve.,No
155,Lograr,AR,To achieve,logro,logras,logra,logramos,logran,Logro terminar.,I manage to finish.,No
156,Fallar,AR,To fail,fallo,fallas,falla,fallamos,fallan,Fallo a veces.,I fail sometimes.,No
157,Arriesgar,AR,To risk,arriesgo,arriesgas,arriesga,arriesgamos,arriesgan,Arriesgo todo.,I risk everything.,No
158,Apostar,AR,To bet,aposto,apostas,aposta,apostamos,apostan,Apuesto al equipo.,I bet on the team.,Yes 🇵🇷
159,Joder,ER,To mess with,jodo,jodes,jode,jodemos,joden,No me jodas.,Don’t mess with me.,Yes 🇵🇷
160,Fregar,AR,To annoy,frego,fregas,frega,fregamos,fregan,Me friega eso.,That annoys me.,Yes 🇵🇷
161,Chocar,AR,To crash,choco,chocas,choca,chocamos,chocan,Chocan carros.,Cars crash.,No
162,Guiar,AR,To drive,guio,guias,guia,guiamos,guian,Guío aquí.,I drive here.,Yes 🇵🇷
163,Manejar,AR,To drive,manejo,manejas,maneja,manejamos,manejan,Manejo diario.,I drive daily.,Yes 🇵🇷
164,Montarse,Reflexive,To get in/on,me monto,te montas,se monta,nos montamos,se montan,Me monto en el carro.,I get in the car.,Yes 🇵🇷
165,Bajarse,Reflexive,To get off,me bajo,te bajas,se baja,nos bajamos,se bajan,Me bajo aquí.,I get off here.,Yes 🇵🇷
166,Pedir,IR,To ask for,pido,pides,pide,pedimos,piden,Pido ayuda.,I ask for help.,No
167,Servir,IR,To serve,sirvo,sirves,sirve,servimos,sirven,Sirvo café.,I serve coffee.,No
168,Repetir,IR,To repeat,repito,repites,repite,repetimos,repiten,Repito la frase.,I repeat the phrase.,No
169,Vestir,IR,To dress,vesto,vestes,veste,vestimos,vesten,Visto formal.,I dress,No
201,Cuidar,AR,To take care of,cuido,cuidas,cuida,cuidamos,cuidan,Cuido mi salud.,I take care of my health.,No
202,Proteger,ER,To protect,protegjo,proteges,protege,protegemos,protegen,Protejo a mi familia.,I protect my family.,No
203,Defenderse,Reflexive,To defend oneself,me defendo,te defendes,se defende,nos defendemos,se defenden,Me defiendo.,I defend myself.,No
204,Sobrevivir,IR,To survive,sobrevivo,sobrevives,sobrevive,sobrevivimos,sobreviven,Sobrevivo a todo.,I survive everything.,No
205,Luchar,AR,To fight,lucho,luchas,lucha,luchamos,luchan,Lucho por mí.,I fight for myself.,No
206,Resistir,IR,To resist,resisto,resistes,resiste,resistimos,resisten,Resisto presión.,I resist pressure.,No
207,Rendir,IR,To give up,rendo,rendes,rende,rendimos,renden,No me rindo.,I don’t give up.,No
208,Lograrse,Reflexive,To be achieved,me logro,te logras,se logra,nos logramos,se logran,Se logra con tiempo.,It’s achieved with time.,No
209,Triunfar,AR,To succeed,triunfo,triunfas,triunfa,triunfamos,triunfan,Triunfa aquí.,They succeed here.,No
210,Brillar,AR,To shine,brillo,brillas,brilla,brillamos,brillan,Brillas mucho.,You shine a lot.,No
211,Inspirar,AR,To inspire,inspiro,inspiras,inspira,inspiramos,inspiran,Inspiras a otros.,You inspire others.,No
212,Crear,AR,To create,creo,creas,crea,creamos,crean,Creo arte.,I create art.,No
213,Imaginar,AR,To imagine,imagino,imaginas,imagina,imaginamos,imaginan,Imagino eso.,I imagine that.,No
214,Soñarse,Reflexive,To envision oneself,me soño,te soñas,se soña,nos soñamos,se soñan,Me sueño allí.,I see myself there.,Yes 🇵🇷
215,Manifestar,AR,To manifest,manifesto,manifestas,manifesta,manifestamos,manifestan,Manifiesto paz.,I manifest peace.,No
216,Afirmar,AR,To affirm,afirmo,afirmas,afirma,afirmamos,afirman,Afirmo eso.,I affirm that.,No
217,Declarar,AR,To declare,declaro,declaras,declara,declaramos,declaran,Declaro verdad.,I declare truth.,No
218,Bendecirse,Reflexive,To bless oneself,me bendeczco,te bendeces,se bendece,nos bendecimos,se bendecen,Me bendigo hoy.,I bless myself today.,Yes 🇵🇷
219,Agradecer,ER,To thank,agradeczco,agradeces,agradece,agradecemos,agradecen,Agradezco todo.,I’m grateful for everything.,No
220,Reconocer,ER,To recognize,reconoczco,reconoces,reconoce,reconocemos,reconocen,Reconozco errores.,I recognize mistakes.,No
221,Honrar,AR,To honor,honro,honras,honra,honramos,honran,Honro mi historia.,I honor my history.,No
222,Celebrarse,Reflexive,To celebrate oneself,me celebro,te celebras,se celebra,nos celebramos,se celebran,Se celebra hoy.,It’s celebrated today.,No
223,Compartirse,Reflexive,To be shared,me comparto,te compartes,se comparte,nos compartimos,se comparten,Se comparte amor.,Love is shared.,No
224,Conectarse,Reflexive,To connect,me conecto,te conectas,se conecta,nos conectamos,se conectan,Me conecto contigo.,I connect with you.,No
225,Fluir,IR,To flow,fluo,flues,flue,fluimos,fluen,Todo fluye.,Everything flows.,Yes 🇵🇷
226,Soltar,AR,To let go,solto,soltas,solta,soltamos,soltan,Suelto el miedo.,I let go of fear.,Yes 🇵🇷
227,Confiar,AR,To trust,confio,confias,confia,confiamos,confian,Confío en mí.,I trust myself.,No
228,Creerse,Reflexive,To believe in oneself,me creo,te crees,se cree,nos creemos,se creen,Me la creo.,I believe in myself.,Yes 🇵🇷
229,Vivirse,Reflexive,To live fully,me vivo,te vives,se vive,nos vivimos,se viven,La vida se vive.,Life is meant to be lived.,Yes 🇵🇷
230,Escaparse,Reflexive,To sneak away,me escapo,te escapas,se escapa,nos escapamos,se escapan,Se escapa temprano.,They sneak away early.,Yes 🇵🇷
231,Atreverse,Reflexive,To dare,me atrevo,te atreves,se atreve,nos atrevemos,se atreven,Me atrevo a hablar.,I dare to speak.,No
232,Arrancar,AR,To start suddenly,arranco,arrancas,arranca,arrancamos,arrancan,Arranco temprano.,I start early.,Yes 🇵🇷
233,Frenar,AR,To brake,freno,frenas,frena,frenamos,frenan,Freno rápido.,I brake quickly.,Yes 🇵🇷
234,Chillar,AR,To scream,chillo,chillas,chilla,chillamos,chillan,El niño chilla.,The child screams.,No
235,Quebrar,AR,To break,quebro,quebras,quebra,quebramos,quebran,Se quiebra fácil.,It breaks easily.,No
236,Romperse,Reflexive,To break itself,me rompo,te rompes,se rompe,nos rompemos,se rompen,Se rompió.,It broke.,No
237,Adaptarse,Reflexive,To adapt,me adapto,te adaptas,se adapta,nos adaptamos,se adaptan,Me adapto bien.,I adapt well.,No
238,Acostumbrarse,Reflexive,To get used to,me acostumbro,te acostumbras,se acostumbra,nos acostumbramos,se acostumbran,Me acostumbro.,I get used to it.,No
239,Enfrentar,,,enfrento,enfrentas,enfrenta,enfrentamos,enfrentan,,,
